period_start,period_end,platform,metric,value
2025-10-22,2025-10-28,Meta,CPM,+1.89%
2025-10-22,2025-10-28,Google,CPM,-1.74%
2025-10-22,2025-10-28,AppLovin,CPM,+3.08%
2025-10-22,2025-10-28,TikTok,CPM,+0.12%
2025-10-22,2025-10-28,YouTube,CPM,+4.04%
2025-10-22,2025-10-28,Microsoft,CPM,+2.47%
2025-10-22,2025-10-28,Pinterest,CPM,+3.04%
2025-10-22,2025-10-28,Snapchat,CPM,-2.12%
2025-10-22,2025-10-28,Meta,CTR,+2.66%
2025-10-22,2025-10-28,Google,CTR,-0.12%
2025-10-22,2025-10-28,AppLovin,CTR,-4.89%
2025-10-22,2025-10-28,TikTok,CTR,-0.49%
2025-10-22,2025-10-28,YouTube,CTR,+6.66%
2025-10-22,2025-10-28,Microsoft,CTR,+1.02%
2025-10-22,2025-10-28,Pinterest,CTR,-6.36%
2025-10-22,2025-10-28,Snapchat,CTR,+1.26%
2025-10-22,2025-10-28,Meta,CPC,-6.93%
2025-10-22,2025-10-28,Google,CPC,-2.42%
2025-10-22,2025-10-28,AppLovin,CPC,+9.21%
2025-10-22,2025-10-28,TikTok,CPC,+1.49%
2025-10-22,2025-10-28,YouTube,CPC,+4.14%
2025-10-22,2025-10-28,Microsoft,CPC,-11.00%
2025-10-22,2025-10-28,Pinterest,CPC,+0.91%
2025-10-22,2025-10-28,Snapchat,CPC,-13.69%
2025-10-22,2025-10-28,Meta,CAC,-1.52%
2025-10-22,2025-10-28,Google,CAC,+2.40%
2025-10-22,2025-10-28,AppLovin,CAC,+15.02%
2025-10-22,2025-10-28,TikTok,CAC,+0.79%
2025-10-22,2025-10-28,YouTube,CAC,-11.69%
2025-10-22,2025-10-28,Microsoft,CAC,-10.44%
2025-10-22,2025-10-28,Pinterest,CAC,+0.09%
2025-10-22,2025-10-28,Snapchat,CAC,-4.94%
2025-10-22,2025-10-28,Meta,CvR,-2.16%
2025-10-22,2025-10-28,Google,CvR,-1.72%
2025-10-22,2025-10-28,AppLovin,CvR,-0.39%
2025-10-22,2025-10-28,TikTok,CvR,+13.64%
2025-10-22,2025-10-28,YouTube,CvR,+14.66%
2025-10-22,2025-10-28,Microsoft,CvR,-2.42%
2025-10-22,2025-10-28,Pinterest,CvR,-3.22%
2025-10-22,2025-10-28,Snapchat,CvR,-13.93%
2025-10-22,2025-10-28,Meta,ROAS,-0.55%
2025-10-22,2025-10-28,Google,ROAS,+0.02%
2025-10-22,2025-10-28,AppLovin,ROAS,+15.77%
2025-10-22,2025-10-28,TikTok,ROAS,+2.95%
2025-10-22,2025-10-28,YouTube,ROAS,+0.99%
2025-10-22,2025-10-28,Microsoft,ROAS,+4.54%
2025-10-22,2025-10-28,Pinterest,ROAS,-15.15%
2025-10-22,2025-10-28,Snapchat,ROAS,+0.01%
2025-10-22,2025-10-28,Meta,BUDGET_SHARE,62.17%
2025-10-22,2025-10-28,Google,BUDGET_SHARE,26.20%
2025-10-22,2025-10-28,AppLovin,BUDGET_SHARE,3.34%
2025-10-22,2025-10-28,TikTok,BUDGET_SHARE,3.30%
2025-10-22,2025-10-28,YouTube,BUDGET_SHARE,2.89%
2025-10-22,2025-10-28,Microsoft,BUDGET_SHARE,1.15%
2025-10-22,2025-10-28,Pinterest,BUDGET_SHARE,0.91%
2025-10-22,2025-10-28,Snapchat,BUDGET_SHARE,1.16%
2025-10-22,2025-10-28,Meta,SHARE_DELTA,-0.68%
2025-10-22,2025-10-28,Google,SHARE_DELTA,+1.69%
2025-10-22,2025-10-28,AppLovin,SHARE_DELTA,-2.78%
2025-10-22,2025-10-28,TikTok,SHARE_DELTA,+1.47%
2025-10-22,2025-10-28,YouTube,SHARE_DELTA,+0.93%
2025-10-22,2025-10-28,Microsoft,SHARE_DELTA,-1.75%
2025-10-22,2025-10-28,Pinterest,SHARE_DELTA,+1.38%
2025-10-22,2025-10-28,Snapchat,SHARE_DELTA,+3.62%
2025-10-28,2025-11-03,Meta,CPM,-1.05%
2025-10-28,2025-11-03,Google,CPM,-3.44%
2025-10-28,2025-11-03,AppLovin,CPM,-1.51%
2025-10-28,2025-11-03,TikTok,CPM,+10.41%
2025-10-28,2025-11-03,YouTube,CPM,+8.82%
2025-10-28,2025-11-03,Microsoft,CPM,-0.77%
